tipo;titulo;Id_diretor;data_inclusao;ano_lancamento;id_avaliacao;analiacoes_qtd;duracao;duracao_tipo
Filme;Dick Johnson Is Dead;1969;25/09/2021;2020;PG-13;1.280.656;90;minutos
Série;Ganglands;1819;24/09/2021;2021;TV-MA;1.282.359;1;temporadas
Série;Midnight Mass;2475;24/09/2021;2021;TV-MA;1.183.716;1;temporadas
Filme;Sankofa;1299;24/09/2021;1993;TV-MA;1.183.716;125;minutos
Série;The Great British Baking Show;255;24/09/2021;2021;TV-14;197.286;9;temporadas
Filme;The Starling;3622;24/09/2021;2021;PG-13;789.144;104;minutos
Série;Bangkok Breaking;1975;23/09/2021;2021;TV-MA;197.548;1;temporadas
Filme;Je Suis Karl;689;23/09/2021;2021;TV-MA;197.548;127;minutos
Filme;Confessions of an Invisible Girl;543;22/09/2021;2021;TV-PG;296.715;91;minutos
Filme;Intrusion;44;22/09/2021;2021;TV-14;692.335;94;minutos
Série;Monsters Inside: The 24 Faces of Billy Milligan;2693;22/09/2021;2021;TV-14;395.620;1;temporadas
Filme;Avvai Shanmughi;1854;21/09/2021;1996;TV-PG;693.252;161;minutos
Filme;Jeans;3168;21/09/2021;1998;TV-14;495.180;166;minutos
Filme;Minsara Kanavu;2949;21/09/2021;1997;TV-PG;1.287.468;147;minutos
Filme;Grown Ups;919;20/09/2021;2010;PG-13;1.090.837;103;minutos
Filme;Dark Skies;3296;19/09/2021;2013;PG-13;397.192;97;minutos
Filme;Paranoia;3083;19/09/2021;2013;PG-13;397.192;106;minutos
Filme;The Father Who Moves Mountains;803;17/09/2021;2021;TV-MA;1.194.720;110;minutos
Filme;The Stronghold;600;17/09/2021;2021;TV-MA;1.294.280;105;minutos
Filme;Birth of the Dragon;1217;16/09/2021;2017;PG-13;398.764;96;minutos
Filme;Jaws;3501;16/09/2021;1975;PG;398.764;124;minutos
Filme;Jaws 2;1564;16/09/2021;1978;PG;897.219;116;minutos
Filme;Jaws 3;1644;16/09/2021;1983;PG;1.295.983;98;minutos
Filme;Jaws: The Revenge;1780;16/09/2021;1987;PG-13;199.382;91;minutos
Filme;My Heroes Were Cowboys;3742;16/09/2021;2021;PG;299.073;23;minutos
Filme;Safe House;784;16/09/2021;2012;R;299.073;115;minutos
Série;The Smart Money Woman;553;16/09/2021;2020;TV-MA;1.295.983;1;temporadas
Filme;Training Day;300;16/09/2021;2001;R;797.528;122;minutos
Filme;InuYasha the Movie 2: The Castle Beyond the Looking Glass;3716;15/09/2021;2002;TV-14;598.932;99;minutos
Filme;InuYasha the Movie 3: Swords of an Honorable Ruler;3716;15/09/2021;2003;TV-14;898.398;99;minutos
Filme;InuYasha the Movie 4: Fire on the Mystic Island;3716;15/09/2021;2004;TV-PG;499.110;88;minutos
Filme;InuYasha the Movie: Affections Touching Across Time;3716;15/09/2021;2001;TV-PG;1.098.042;100;minutos
Filme;Naruto Shippuden the Movie: Blood Prison;2311;15/09/2021;2011;TV-14;399.288;102;minutos
